,path,classes,img_mode,width,height,aspect_ratio,img_size
0,./data/indoorCVPR_09/Images/gameroom/bt_132294gameroom2.jpg,gameroom,RGB,397,296,1.34,117512
1,./data/indoorCVPR_09/Images/poolinside/inside_pool_and_hot_tub.jpg,poolinside,RGB,550,412,1.33,226600
2,./data/indoorCVPR_09/Images/winecellar/bodega_12_11_flickr.jpg,winecellar,RGB,500,375,1.33,187500
3,./data/indoorCVPR_09/Images/casino/casino_0512.jpg,casino,RGB,400,258,1.55,103200
4,./data/indoorCVPR_09/Images/livingroom/living58.jpg,livingroom,RGB,1024,768,1.33,786432
5,./data/indoorCVPR_09/Images/mall/4984307.jpg,mall,RGB,1280,1261,1.02,1614080
6,./data/indoorCVPR_09/Images/corridor/pasilltmpo_t.jpg,corridor,RGB,257,256,1.0,65792
7,./data/indoorCVPR_09/Images/laboratorywet/laboratorio_quimica_07_05_altavista.jpg,laboratorywet,RGB,396,296,1.34,117216
8,./data/indoorCVPR_09/Images/bookstore/CIMG2743.jpg,bookstore,RGB,448,336,1.33,150528
9,./data/indoorCVPR_09/Images/casino/casino_0044.jpg,casino,RGB,400,266,1.5,106400
10,./data/indoorCVPR_09/Images/waitingroom/800px_VTBS_Waiting_room_of_Thai_Airways.jpg,waitingroom,RGB,256,256,1.0,65536
11,./data/indoorCVPR_09/Images/clothingstore/c0011.jpg,clothingstore,RGB,256,256,1.0,65536
12,./data/indoorCVPR_09/Images/garage/mso1012_FridgeBikes_aft_w609.jpg,garage,RGB,609,456,1.34,277704
13,./data/indoorCVPR_09/Images/prisoncell/territorial_prison_cell_block.jpg,prisoncell,RGB,256,256,1.0,65536
14,./data/indoorCVPR_09/Images/tv_studio/tv_studio_11_13_altavista.jpg,tv_studio,RGB,301,200,1.5,60200
15,./data/indoorCVPR_09/Images/inside_bus/inside_bus_024.jpg,inside_bus,RGB,640,480,1.33,307200
16,./data/indoorCVPR_09/Images/laboratorywet/wet_lab_10_17_altavista.jpg,laboratorywet,RGB,225,300,0.75,67500
17,./data/indoorCVPR_09/Images/videostore/videoclub_07_11_flickr.jpg,videostore,RGB,500,375,1.33,187500
18,./data/indoorCVPR_09/Images/grocerystore/Market5.jpg,grocerystore,RGB,256,256,1.0,65536
19,./data/indoorCVPR_09/Images/inside_bus/inside_bus_078.jpg,inside_bus,RGB,480,360,1.33,172800
20,./data/indoorCVPR_09/Images/bathroom/itoiletpaper.jpg,bathroom,RGB,256,256,1.0,65536
21,./data/indoorCVPR_09/Images/closet/458309322_42d901b9d8.jpg,closet,RGB,256,256,1.0,65536
22,./data/indoorCVPR_09/Images/laboratorywet/wet_lab_13_10_altavista.jpg,laboratorywet,RGB,600,450,1.33,270000
23,./data/indoorCVPR_09/Images/winecellar/cave_vin_10_10_altavista.jpg,winecellar,RGB,300,299,1.0,89700
24,./data/indoorCVPR_09/Images/jewelleryshop/Joyeria_Madrid_4.jpg,jewelleryshop,RGB,480,640,0.75,307200
25,./data/indoorCVPR_09/Images/restaurant_kitchen/restaurant_kitchen_google_0103.jpg,restaurant_kitchen,RGB,382,544,0.7,207808
26,./data/indoorCVPR_09/Images/airport_inside/airport_inside_0148.jpg,airport_inside,RGB,500,380,1.32,190000
27,./data/indoorCVPR_09/Images/church_inside/CH_Horgen_RefKirche.jpg,church_inside,RGB,256,256,1.0,65536
28,./data/indoorCVPR_09/Images/library/Homework2.jpg,library,RGB,256,256,1.0,65536
29,./data/indoorCVPR_09/Images/waitingroom/Waiting_Room_3.jpg,waitingroom,RGB,800,600,1.33,480000
30,./data/indoorCVPR_09/Images/classroom/Kindergarden_classroom.jpg,classroom,RGB,256,256,1.0,65536
31,./data/indoorCVPR_09/Images/laundromat/lavanderia_49_01_flickr.jpg,laundromat,RGB,480,318,1.51,152640
32,./data/indoorCVPR_09/Images/jewelleryshop/joyeria_44_18_altavista.jpg,jewelleryshop,RGB,320,240,1.33,76800
33,./data/indoorCVPR_09/Images/closet/458309564_4e61036dc8.jpg,closet,RGB,256,256,1.0,65536
34,./data/indoorCVPR_09/Images/inside_subway/inside_subway_0305.jpg,inside_subway,RGB,500,375,1.33,187500
35,./data/indoorCVPR_09/Images/winecellar/wine_cellar_24_10_altavista.jpg,winecellar,RGB,773,587,1.32,453751
36,./data/indoorCVPR_09/Images/gym/gym.jpg,gym,RGB,450,300,1.5,135000
37,./data/indoorCVPR_09/Images/fastfood_restaurant/DSC00472.jpg,fastfood_restaurant,RGB,400,300,1.33,120000
38,./data/indoorCVPR_09/Images/warehouse/warehouse_0116.jpg,warehouse,RGB,496,334,1.49,165664
39,./data/indoorCVPR_09/Images/hospitalroom/hospitalRoom2.jpg,hospitalroom,RGB,800,531,1.51,424800
40,./data/indoorCVPR_09/Images/warehouse/warehouse_0241.jpg,warehouse,RGB,299,280,1.07,83720
41,./data/indoorCVPR_09/Images/trainstation/gare_117_20_flickr.jpg,trainstation,RGB,500,316,1.58,158000
42,./data/indoorCVPR_09/Images/dining_room/d5.jpg,dining_room,RGB,256,256,1.0,65536
43,./data/indoorCVPR_09/Images/greenhouse/paghmist.jpg,greenhouse,RGB,256,256,1.0,65536
44,./data/indoorCVPR_09/Images/library/bibliothekfgd.jpg,library,RGB,640,427,1.5,273280
45,./data/indoorCVPR_09/Images/bar/bar_0026.jpg,bar,RGB,256,256,1.0,65536
46,./data/indoorCVPR_09/Images/bookstore/photo_magasin.jpg,bookstore,RGB,256,256,1.0,65536
47,./data/indoorCVPR_09/Images/closet/closet6_lg.jpg,closet,RGB,256,256,1.0,65536
48,./data/indoorCVPR_09/Images/dentaloffice/dentista_48_04_altavista.jpg,dentaloffice,RGB,293,500,0.59,146500
49,./data/indoorCVPR_09/Images/florist/florist_40_10_altavista.jpg,florist,RGB,270,203,1.33,54810
50,./data/indoorCVPR_09/Images/subway/subway_0344.jpg,subway,RGB,343,500,0.69,171500
51,./data/indoorCVPR_09/Images/gym/hotel_megeve_11.jpg,gym,RGB,256,256,1.0,65536
52,./data/indoorCVPR_09/Images/bakery/new_bakery_34_18_altavista.jpg,bakery,RGB,300,200,1.5,60000
53,./data/indoorCVPR_09/Images/children_room/img_0499_22_.jpg,children_room,RGB,640,480,1.33,307200
54,./data/indoorCVPR_09/Images/computerroom/computer_room06.jpg,computerroom,RGB,256,256,1.0,65536
55,./data/indoorCVPR_09/Images/office/o4.jpg,office,RGB,256,256,1.0,65536
56,./data/indoorCVPR_09/Images/waitingroom/sala_de_espera_01_14_altavista.jpg,waitingroom,RGB,300,265,1.13,79500
